timestamp,timestamp_iso,engine_label,post_process,sample_count,success_count,avg_cer_raw,avg_cer_final,avg_improvement,avg_wer_final,source_json
20260429_102827,2026-04-29T10:28:27,gemini25pro,car_norm+dict,63,55,0.4934,0.4835,0.0099,0.6278,batch_eval_20260429_102827_gemini25pro_car_norm+dict.json
20260429_102827,2026-04-29T10:28:27,sensevoice,car_norm+dict,63,63,0.6584,0.6497,0.0087,0.8029,batch_eval_20260429_102827_sensevoice_car_norm+dict.json
20260429_102828,2026-04-29T10:28:28,scribe,car_norm+dict,63,63,0.6615,0.6347,0.0268,0.7843,batch_eval_20260429_102828_scribe_car_norm+dict.json
20260429_114656,2026-04-29T11:46:56,chirp3,car_norm+dict,63,63,0.8557,0.8506,0.0051,0.8293,batch_eval_20260429_114656_chirp3_car_norm+dict.json
20260429_114656,2026-04-29T11:46:56,chirp3,raw,63,63,0.8557,0.8526,0.0031,0.8358,batch_eval_20260429_114656_chirp3_raw.json
20260429_114656,2026-04-29T11:46:56,gemini25pro,car_norm+dict,63,55,0.489,0.4803,0.0087,0.6084,batch_eval_20260429_114656_gemini25pro_car_norm+dict.json
20260429_114656,2026-04-29T11:46:56,gemini25pro,raw,63,55,0.489,0.4836,0.0053,0.6207,batch_eval_20260429_114656_gemini25pro_raw.json
20260429_114656,2026-04-29T11:46:56,scribe,car_norm+dict,63,63,0.6773,0.6519,0.0254,0.7903,batch_eval_20260429_114656_scribe_car_norm+dict.json
20260429_114656,2026-04-29T11:46:56,scribe,raw,63,63,0.6773,0.6661,0.0112,0.8008,batch_eval_20260429_114656_scribe_raw.json
20260429_114656,2026-04-29T11:46:56,sensevoice,car_norm+dict,63,62,0.6518,0.6451,0.0067,0.7871,batch_eval_20260429_114656_sensevoice_car_norm+dict.json
20260429_114656,2026-04-29T11:46:56,sensevoice,raw,63,62,0.6518,0.6457,0.0061,0.7884,batch_eval_20260429_114656_sensevoice_raw.json
20260430_094054,2026-04-30T09:40:54,sensevoice,car_norm+dict,63,63,0.6581,0.6493,0.0087,0.802,batch_eval_20260430_094054_sensevoice_car_norm+dict.json
20260430_094054,2026-04-30T09:40:54,sensevoice,raw,63,63,0.6581,0.6499,0.0081,0.8033,batch_eval_20260430_094054_sensevoice_raw.json
20260430_114809,2026-04-30T11:48:09,ensemble_v1,raw,63,55,0.5077,0.5028,0.005,0.6381,batch_eval_20260430_114809_ensemble_v1_raw.json
20260430_143158,2026-04-30T14:31:58,gemini25pro,car_norm+dict+llm,63,55,0.4934,0.484,0.0094,0.626,batch_eval_20260430_143158_gemini25pro_car_norm+dict+llm.json
20260430_143447,2026-04-30T14:34:47,chirp3,car_norm+dict+llm,63,63,0.8281,0.817,0.0111,0.8226,batch_eval_20260430_143447_chirp3_car_norm+dict+llm.json
20260430_144336,2026-04-30T14:43:36,sensevoice,car_norm+dict+llm,63,63,0.6584,0.6342,0.0242,0.7816,batch_eval_20260430_144336_sensevoice_car_norm+dict+llm.json
20260430_144833,2026-04-30T14:48:33,scribe,car_norm+dict+llm,63,63,0.6615,0.6243,0.0372,0.768,batch_eval_20260430_144833_scribe_car_norm+dict+llm.json
20260501_214541,2026-05-01T21:45:41,sensevoice_ft_r32,car_norm+dict,63,10,0.3078,0.2868,0.021,0.4556,batch_eval_20260501_214541_sensevoice_ft_r32_car_norm+dict.json
20260501_215235,2026-05-01T21:52:35,sensevoice_ft_r32,car_norm+dict+llm,63,10,0.3078,0.2647,0.043,0.4226,batch_eval_20260501_215235_sensevoice_ft_r32_car_norm+dict+llm.json
20260501_224108,2026-05-01T22:41:08,sensevoice_ft_r32_full,car_norm+dict,63,63,0.295,0.2866,0.0084,0.4564,batch_eval_20260501_224108_sensevoice_ft_r32_full_car_norm+dict.json
20260501_225945,2026-05-01T22:59:45,sensevoice_ft_r32_full,car_norm+dict+llm,63,63,0.295,0.2812,0.0138,0.4319,batch_eval_20260501_225945_sensevoice_ft_r32_full_car_norm+dict+llm.json
20260501_232032,2026-05-01T23:20:32,ensemble_ft_gemini,raw,63,55,0.3089,0.2998,0.0091,0.4174,batch_eval_20260501_232032_ensemble_ft_gemini_raw.json
20260501_232741,2026-05-01T23:27:41,ensemble_ft_gemini,car_norm+dict+llm,63,55,0.3089,0.3033,0.0056,0.3988,batch_eval_20260501_232741_ensemble_ft_gemini_car_norm+dict+llm.json
20260531_180707,2026-05-31T18:07:07,sensevoice_ft_v2_157gt,car_norm+dict+llm,157,19,0.262,0.2542,0.0078,0.4396,batch_eval_20260531_180707_sensevoice_ft_v2_157gt_car_norm+dict+llm.json
20260603_164638,2026-06-03T16:46:38,whisper_medium,raw,159,21,0.6966,0.6916,0.005,0.8017,batch_eval_20260603_164638_whisper_medium_raw.json
20260705_115230,2026-07-05T11:52:30,sensevoice_ft_v2_157gt,car_norm+dict+llm,157,19,0.262,0.2553,0.0067,0.4395,batch_eval_20260705_115230_sensevoice_ft_v2_157gt_car_norm+dict+llm.json
20260705_115717,2026-07-05T11:57:17,sensevoice_ft_v2_157gt,car_norm+dict+llm,157,19,0.262,0.2519,0.0101,0.4312,batch_eval_20260705_115717_sensevoice_ft_v2_157gt_car_norm+dict+llm.json
20260705_120126,2026-07-05T12:01:26,sensevoice_ft_v2_157gt,car_norm+dict+llm,157,19,0.262,0.2535,0.0085,0.4363,batch_eval_20260705_120126_sensevoice_ft_v2_157gt_car_norm+dict+llm.json
20260705_120548,2026-07-05T12:05:48,sensevoice_ft_v2_157gt,car_norm+dict+llm,157,19,0.262,0.2525,0.0095,0.4364,batch_eval_20260705_120548_sensevoice_ft_v2_157gt_car_norm+dict+llm.json
20260705_153758,2026-07-05T15:37:58,sensevoice_ft_v2_157gt,car_norm+dict,21,18,0.2645,0.2621,0.0024,0.4547,batch_eval_20260705_153758_sensevoice_ft_v2_157gt_car_norm+dict.json
20260705_153924,2026-07-05T15:39:24,sensevoice_ft_v2_157gt,car_norm+dict,21,18,0.2645,0.2621,0.0024,0.4547,batch_eval_20260705_153924_sensevoice_ft_v2_157gt_car_norm+dict.json
20260705_154407,2026-07-05T15:44:07,sensevoice_ft_v2_157gt_Aseries,car_norm+dict,13,13,0.4525,0.4539,-0.0014,0.5834,batch_eval_20260705_154407_sensevoice_ft_v2_157gt_Aseries_car_norm+dict.json
20260705_160101,2026-07-05T16:01:01,sensevoice_ft_v2_157gt,car_norm+dict,19,19,0.262,0.2598,0.0023,0.4517,batch_eval_20260705_160101_sensevoice_ft_v2_157gt_car_norm+dict.json
20260705_172107,2026-07-05T17:21:07,sensevoice_ft_v3_chunk_aug,car_norm+dict,19,19,0.4859,0.4818,0.0041,0.708,batch_eval_20260705_172107_sensevoice_ft_v3_chunk_aug_car_norm+dict.json
20260705_172959,2026-07-05T17:29:59,sensevoice_ft_v3a_chunk_only,car_norm+dict,19,19,0.2878,0.2809,0.0069,0.523,batch_eval_20260705_172959_sensevoice_ft_v3a_chunk_only_car_norm+dict.json
20260705_174925,2026-07-05T17:49:25,sensevoice_ft_v3c_chunk_filtered,car_norm+dict,19,19,0.2703,0.2652,0.0051,0.4783,batch_eval_20260705_174925_sensevoice_ft_v3c_chunk_filtered_car_norm+dict.json
20260705_175102,2026-07-05T17:51:02,sensevoice_ft_v3c_chunk_filtered_Aseries,car_norm+dict,13,13,0.4592,0.4597,-0.0005,0.5851,batch_eval_20260705_175102_sensevoice_ft_v3c_chunk_filtered_Aseries_car_norm+dict.json
20260705_182006,2026-07-05T18:20:06,sensevoice_ft_v3c_seed43,car_norm+dict,19,19,0.316,0.3131,0.0029,0.5619,batch_eval_20260705_182006_sensevoice_ft_v3c_seed43_car_norm+dict.json
20260705_182030,2026-07-05T18:20:30,sensevoice_ft_v3c_seed44,car_norm+dict,19,19,0.2956,0.2926,0.003,0.5004,batch_eval_20260705_182030_sensevoice_ft_v3c_seed44_car_norm+dict.json
20260707_131933,2026-07-07T13:19:33,sensevoice_ft_v2_157gt_batch01,car_norm+dict,20,20,0.2748,0.2793,-0.0045,0.4794,batch_eval_20260707_131933_sensevoice_ft_v2_157gt_batch01_car_norm+dict.json
ct.json,,,,,,,,,,
