編號	中文	英文	縮寫
I0004	間隙變電站	Gap Breaker Substation	GBSS
I0005	台電電驛盤	TPC Relaying Panel	TRP
I0006	比流器	Current Transformer	CT
I0007	比壓器	Potential Transformer	PT
I0008	氣體絕緣開關	Gas Insulated Switchgear	GIS
I0009	箱體式氣體絕緣開關	Cubicle Gas Insulated Switchgear	CGIS
I0010	自動切換開關	Automatic Transfer Switch	ATS
I0011	接地開關	Earthed Switch	ES
I0012	負載啟斷開關	Load Beaker Switch	LBS
I0013	正線隔離開關	Main Line Disconnect Switch	MDS
I0014	有載開關	On-Load Switch
I0015	無載開關	Off-load Switch
I0016	變壓器	Transformer
I0017	有載分接頭切換器	On Load Tap Changer	OLTC
I0018	整流變壓器	Rectifier Transformer	RT
I0019	真空斷路器	Vacuum Circuit Breaker	VCB
I0020	斷路器	Circuit Breaker	CB
I0021	隔離開關	Disconnecting Switch	DS
I0022	過電壓保護裝置	Over Voltage Protection Device	OVPD
I0023	不斷電系統	Uninterruptible Power Supply	UPS
I0024	負迴流開關	Negative Return	NR
I0025	諧波濾波器	Harmonic Filter	HF
I0026	六氟化硫氣體	Sulphur Hexafluoride	SF6-GAS
I0027	環路開關	Ring Main Unit	RMU
I0028	電池充電機	Battery Charger	BC
I0029	電池組	Battery
I0030	高速斷路器	High Speed Circuit Breaker	HSCB
I0031	雜散電流	Stray Current
I0032	發電機	Generator
I0033	避雷器	Lightning Arrestor	LA
I0034	跨電	Bridge
I0035	常閉	Normal Close	N.C.
I0036	常開	Normal Open	N.O.
I0037	轉供作業	Switching Operation
I0038	驗電棒	Electroscope Stick
I0039	活電作業	Live Working
J0001	建築物管理系統	Building Management System	BMS
J0002	環控系統	Environmental Control System	ECS
J0003	環境噪音監測器	Ambient Noise Monitor	ANM
J0004	現場控制器	Local Controller	LCR
J0005	可攜式操作站	Movable Operation Station	MOS
J0006	馬達控制中心	Motor Control Center	MCC
J0007	軌道照明系統	Track Lighting System
J0008	火警受信總機	Local Fire Alarm Panel	LFAP
J0009	消防系統	Fire Fighting System
J0010	自動滅火系統控制盤	Automatic Fire Extinguishing System Control Panel	FCP
J0011	排水系統	Drainage system
J0012	給水系統	Water Supply System
J0013	消防泵浦	Fire Pump
J0014	汙水泵浦	Sewage Pump
J0015	排水泵浦	Drain Pump
J0016	供水泵浦	Water Pump
J0017	排氣風扇	Exhaust Air Fan	EAF
J0018	排煙風扇	Smoke Exhaust Fan	SEF
J0019	新鮮空氣風扇	Fresh Air Fan	FAF
J0020	通風豎井	Ventilation Shaft
J0021	排煙閘門	Motorized Smoke Damper	MSD
J0022	電動控制風門	Motorized Control Damper	MCD
J0023	緊急求助警報系統	Emergency Alert System
J0024	門禁系統	Access Control System
J0025	冷卻水塔	Cooling Tower
J0026	冰水主機	Chiller Unit	CHU
J0027	冰水泵	Chilled Water Pump	CHP
J0028	可程式化邏輯控制器	Programmable Logic Controller	PLC
